i,j,val,ci,cj
0,19,3.38e-03,0,0
0,158,1.62e-03,0,1
1,68,8.37e-04,0,0
1,79,5.58e-04,0,0
1,164,3.61e-03,0,1
2,72,8.99e-04,0,0
2,96,1.58e-03,0,0
2,112,1.46e-10,0,0
2,133,2.52e-03,0,1
3,45,4.46e-04,0,0
3,66,3.96e-05,0,0
3,71,4.74e-06,0,0
3,143,3.33e-03,0,1
3,157,1.18e-03,0,1
4,9,1.00e-08,0,0
4,24,1.32e-04,0,0
4,35,3.42e-03,0,0
4,56,1.58e-04,0,0
4,71,1.82e-10,0,0
4,114,1.29e-03,0,0
4,143,4.69e-07,0,1
5,28,2.64e-08,0,0
5,83,5.53e-04,0,0
5,90,4.44e-03,0,0
5,118,8.46e-06,0,1
5,178,6.70e-08,0,1
6,28,4.17e-04,0,0
6,44,3.82e-03,0,0
6,90,5.14e-04,0,0
6,118,6.81e-05,0,1
6,121,5.61e-08,0,1
6,154,4.92e-06,0,1
6,178,1.74e-04,0,1
7,8,2.44e-04,0,0
7,40,6.19e-06,0,0
7,46,8.40e-08,0,0
7,88,7.32e-04,0,0
7,124,4.02e-03,0,1
8,72,2.38e-10,0,0
8,96,1.20e-03,0,0
8,112,3.80e-03,0,0
8,133,9.23e-09,0,1
9,47,1.18e-03,0,0
9,57,4.54e-06,0,0
9,108,3.81e-03,0,0
9,182,3.55e-09,0,1
9,190,6.07e-09,0,1
10,21,9.89e-05,0,0
10,92,4.43e-03,0,0
10,164,3.40e-07,0,1
10,173,4.75e-04,0,1
10,198,3.12e-08,0,1
11,64,3.61e-06,0,0
11,65,1.06e-04,0,0
11,81,1.36e-04,0,0
11,98,2.23e-03,0,0
11,176,2.52e-03,0,1
12,4,1.14e-08,0,0
12,117,3.84e-03,0,1
12,128,9.95e-04,0,1
12,139,1.70e-04,0,1
13,46,1.26e-10,0,0
13,63,2.83e-04,0,0
13,111,1.34e-04,0,0
13,151,4.58e-03,0,1
14,18,2.48e-03,0,0
14,33,3.61e-04,0,0
14,50,9.91e-06,0,0
14,145,9.54e-04,0,1
14,186,1.20e-03,0,1
15,12,5.27e-07,0,0
15,49,3.10e-10,0,0
15,52,1.87e-03,0,0
15,193,3.13e-03,0,1
16,21,8.18e-04,0,0
16,50,3.61e-06,0,0
16,75,4.03e-03,0,0
16,91,1.09e-09,0,0
16,127,8.15e-05,0,1
16,145,6.96e-05,0,1
16,179,1.67e-09,0,1
16,186,8.75e-10,0,1
17,68,3.75e-03,0,0
17,79,1.35e-06,0,0
17,164,1.25e-03,0,1
18,7,9.41e-04,0,0
18,13,8.67e-05,0,0
18,32,4.69e-09,0,0
18,59,6.77e-07,0,0
18,138,3.97e-03,0,1
18,148,1.70e-09,0,1
19,102,4.02e-03,0,0
19,104,2.93e-07,0,0
19,109,1.69e-05,0,0
19,130,9.62e-04,0,1
20,0,4.62e-03,0,0
20,11,1.73e-05,0,0
20,99,5.69e-08,0,0
20,112,3.57e-04,0,0
20,141,1.46e-06,0,1
21,126,2.67e-03,0,1
21,165,2.33e-03,0,1
22,16,1.57e-03,0,0
22,44,1.31e-09,0,0
22,103,3.43e-03,0,0
22,178,2.28e-06,0,1
23,51,3.16e-04,0,0
23,100,2.25e-04,0,0
23,149,4.46e-03,0,1
24,55,7.21e-08,0,0
24,135,4.98e-03,0,1
24,155,1.35e-09,0,1
24,182,1.87e-05,0,1
25,6,2.92e-03,0,0
25,17,8.12e-05,0,0
25,67,2.00e-03,0,0
25,162,4.83e-10,0,1
26,14,2.94e-03,0,0
