i,j,val,ci,cj
0,134,1.97e-03,0,1
0,163,1.70e-07,0,1
0,199,3.02e-03,0,1
1,15,1.40e-03,0,0
1,26,9.84e-05,0,0
1,73,3.50e-03,0,0
2,121,1.49e-08,0,1
2,128,2.62e-03,0,1
2,158,1.09e-03,0,1
2,177,1.18e-03,0,1
2,184,1.09e-04,0,1
3,165,3.05e-04,0,1
3,172,4.69e-03,0,1
4,93,3.30e-05,0,0
4,100,3.00e-05,0,0
4,113,4.94e-03,0,0
5,47,2.65e-04,0,0
5,74,3.06e-04,0,0
5,77,3.51e-03,0,0
5,114,9.23e-04,0,0
6,47,1.50e-04,0,0
6,57,3.25e-07,0,0
6,105,3.58e-06,0,0
6,108,4.85e-03,0,0
7,29,4.64e-04,0,0
7,50,3.54e-05,0,0
7,55,2.95e-03,0,0
7,67,1.55e-03,0,0
7,91,1.21e-07,0,0
7,94,3.88e-06,0,0
8,11,1.94e-04,0,0
8,18,4.73e-03,0,0
8,27,3.81e-08,0,0
8,35,5.36e-05,0,0
8,38,1.75e-05,0,0
9,133,4.77e-03,0,1
9,169,2.33e-04,0,1
9,172,1.76e-07,0,1
10,18,7.96e-05,0,0
10,35,1.37e-09,0,0
10,43,4.92e-03,0,0
11,65,1.15e-05,0,0
11,71,3.16e-03,0,0
11,84,5.02e-05,0,0
11,98,7.17e-07,0,0
11,110,1.78e-03,0,0
12,99,3.40e-03,0,0
12,102,2.68e-08,0,0
12,104,9.26e-04,0,0
12,107,4.17e-04,0,0
12,109,2.57e-04,0,0
13,11,1.12e-03,0,0
13,38,3.85e-03,0,0
13,67,3.60e-05,0,0
14,22,1.97e-03,0,0
14,48,3.03e-03,0,0
15,2,2.88e-08,0,0
15,30,4.73e-03,0,0
15,69,2.73e-04,0,0
16,6,1.35e-04,0,0
16,28,1.60e-04,0,0
16,62,4.70e-03,0,0
17,15,4.32e-05,0,0
17,26,4.90e-03,0,0
17,35,2.20e-10,0,0
17,73,2.77e-08,0,0
17,113,6.04e-05,0,0
18,71,1.72e-10,0,0
18,87,5.00e-03,0,0
18,97,4.73e-10,0,0
19,118,5.68e-10,0,1
19,121,2.64e-03,0,1
19,128,2.36e-03,0,1
19,162,2.25e-10,0,1
20,12,4.93e-03,0,0
20,51,1.01e-09,0,0
20,112,7.49e-05,0,0
21,8,5.38e-07,0,0
21,13,6.19e-06,0,0
21,22,2.87e-03,0,0
21,40,2.08e-03,0,0
21,42,8.98e-09,0,0
21,48,3.82e-05,0,0
22,70,2.94e-04,0,0
22,89,4.68e-03,0,0
22,105,2.23e-05,0,0
23,25,2.02e-10,0,0
23,53,1.40e-08,0,0
23,64,1.78e-04,0,0
23,81,3.74e-03,0,0
23,84,8.81e-08,0,0
23,98,1.08e-03,0,0
24,132,4.77e-05,0,1
24,169,2.62e-07,0,1
24,170,3.85e-08,0,1
24,185,4.95e-03,0,1
25,132,8.43e-09,0,1
25,134,3.02e-03,0,1
25,163,5.81e-09,0,1
25,199,1.98e-03,0,1
26,2,2.02e-06,0,0
26,19,4.73e-03,0,0
26,30,2.68e-04,0,0
26,54,5.73e-07,0,0
26,69,2.31e-09,0,0
27,71,7.75e-10,0,0
27,97,5.00e-03,0,0
28,47,4.59e-03,0,0
28,57,3.62e-09,0,0
28,105,2.92e-04,0,0
28,108,1.23e-04,0,0
29,127,2.06e-07,0,1
29,130,2.23e-03,0,1
29,152,2.77e-03,0,1
30,118,1.22e-03,0,1
30,177,1.29e-07,0,1
30,184,3.78e-03,0,1
31,29,4.52e-03,0,0
31,50,2.25e-06,0,0
31,55,4.71e-04,0,0
31,67,1.01e-07,0,0
31,91,8.02e-06,0,0
31,94,8.68e-09,0,0
32,23,1.39e-10,0,0
32,29,9.87e-10,0,0
32,50,1.15e-05,0,0
32,55,5.80e-05,0,0
32,67,3.16e-03,0,0
32,94,1.77e-03,0,0
33,15,3.55e-03,0,0
33,26,3.07e-06,0,0
33,73,1.44e-03,0,0
34,51,3.29e-05,0,0
34,93,2.35e-09,0,0
34,100,4.97e-03,0,0
35,37,1.65e-03,0,0
35,54,3.35e-03,0,0
35,87,3.56e-07,0,0
36,12,7.18e-05,0,0
36,51,4.92e-03,0,0
36,93,1.08e-05,0,0
36,112,8.60e-09,0,0
37,118,6.27e-04,0,1
37,121,3.14e-08,0,1
37,183,4.37e-03,0,1
38,65,7.25e-07,0,0
38,71,1.85e-03,0,0
38,84,8.22e-06,0,0
38,98,6.78e-07,0,0
38,110,3.14e-03,0,0
39,66,1.64e-07,0,0
39,133,6.34e-06,0,1
39,193,4.99e-03,0,1
40,11,3.69e-03,0,0
40,18,1.77e-04,0,0
40,27,1.86e-07,0,0
40,35,4.41e-08,0,0
40,38,1.14e-03,0,0
41,146,1.26e-03,0,1
41,153,1.01e-09,0,1
41,196,3.74e-03,0,1
42,27,7.27e-06,0,0
42,67,3.26e-09,0,0
42,89,5.50e-08,0,0
42,91,4.99e-03,0,0
43,29,4.31e-10,0,0
43,50,2.25e-03,0,0
43,54,2.74e-04,0,0
43,55,1.28e-06,0,0
43,94,2.47e-03,0,0
44,62,2.96e-04,0,0
44,70,4.70e-03,0,0
45,7,3.40e-03,0,0
45,31,5.71e-04,0,0
45,32,1.03e-03,0,0
46,43,7.83e-05,0,0
46,101,4.92e-03,0,0
47,3,1.57e-07,0,0
47,9,6.82e-04,0,0
47,56,4.32e-03,0,0
47,114,9.24e-10,0,0
48,70,1.26e-06,0,0
48,89,3.17e-04,0,0
48,105,4.68e-03,0,0
49,95,2.84e-03,0,0
49,106,2.16e-03,0,0
50,127,4.00e-03,0,1
50,130,1.18e-04,0,1
50,162,1.14e-04,0,1
50,164,7.68e-04,0,1
51,2,1.83e-07,0,0
51,69,4.23e-03,0,0
51,75,1.13e-05,0,0
51,99,7.59e-04,0,0
51,104,5.39e-09,0,0
51,107,2.53e-07,0,0
52,23,4.20e-09,0,0
52,102,2.56e-04,0,0
52,104,6.39e-08,0,0
52,107,1.14e-10,0,0
52,109,4.74e-03,0,0
53,132,7.53e-04,0,1
53,140,5.46e-07,0,1
53,170,4.20e-03,0,1
53,185,4.89e-05,0,1
