i,j,val,ci,cj
53,67,6.63e-04,0,0
53,105,3.29e-03,0,0
53,197,1.04e-03,0,1
54,37,1.59e-06,0,0
54,153,3.07e-10,0,1
54,196,5.00e-03,0,1
55,53,8.88e-05,0,0
55,81,4.82e-08,0,0
55,131,7.89e-08,0,1
55,168,3.50e-03,0,1
55,192,1.41e-03,0,1
56,1,1.58e-04,0,0
56,84,7.61e-09,0,0
56,86,4.72e-04,0,0
56,87,1.85e-10,0,0
56,137,1.62e-08,0,1
56,147,7.46e-04,0,1
56,159,3.62e-03,0,1
57,122,4.49e-06,0,1
57,152,1.19e-03,0,1
57,161,3.80e-03,0,1
58,10,1.71e-04,0,0
58,123,4.77e-03,0,1
58,140,5.74e-05,0,1
58,153,1.98e-08,0,1
58,170,8.61e-09,0,1
59,129,7.20e-07,0,1
59,144,4.94e-03,0,1
59,149,6.42e-05,0,1
60,100,5.00e-03,0,0
60,149,2.78e-06,0,1
61,83,4.41e-03,0,0
61,90,5.85e-04,0,0
62,89,5.00e-03,0,0
62,190,4.22e-06,0,1
63,13,2.83e-04,0,0
63,59,4.31e-10,0,0
63,148,4.72e-03,0,1
64,5,1.63e-05,0,0
64,6,1.33e-08,0,0
64,17,3.54e-06,0,0
64,85,3.44e-05,0,0
64,94,4.92e-03,0,0
64,183,2.17e-05,0,1
65,6,5.11e-05,0,0
65,17,1.07e-04,0,0
65,54,4.59e-03,0,0
65,85,1.35e-05,0,0
65,162,2.39e-04,0,1
66,82,4.29e-04,0,0
66,116,3.94e-05,0,1
66,156,4.50e-03,0,1
66,181,2.85e-05,0,1
67,27,1.99e-03,0,0
67,31,3.00e-03,0,0
67,97,4.60e-06,0,0
68,117,8.37e-04,0,1
68,128,3.75e-03,0,1
68,139,4.15e-04,0,1
69,41,5.00e-03,0,0
69,64,1.38e-08,0,0
70,57,2.63e-04,0,0
70,89,2.62e-07,0,0
70,108,4.35e-03,0,0
70,182,3.86e-04,0,1
71,1,1.84e-10,0,0
71,29,3.00e-03,0,0
71,82,4.46e-08,0,0
