i,j,val,ci,cj
0,65,6.99e-08,0,0
0,98,3.15e-03,0,0
0,168,4.65e-10,0,1
0,176,1.64e-03,0,1
0,192,2.08e-04,0,1
1,36,2.78e-09,0,0
1,78,4.91e-03,0,0
1,142,8.58e-05,0,1
2,69,1.58e-04,0,0
2,102,7.64e-06,0,0
2,104,2.20e-07,0,0
2,107,2.08e-05,0,0
2,109,1.77e-08,0,0
2,189,4.81e-03,0,1
3,57,9.94e-04,0,0
3,108,4.01e-03,0,0
4,20,4.95e-03,0,0
4,36,4.67e-05,0,0
5,28,1.94e-05,0,0
5,90,1.85e-03,0,0
5,118,3.11e-03,0,1
5,121,2.68e-05,0,1
5,178,2.88e-10,0,1
6,22,9.48e-10,0,0
6,28,2.23e-03,0,0
6,90,2.72e-08,0,0
6,118,1.01e-04,0,1
6,121,2.65e-03,0,1
6,154,2.46e-05,0,1
7,8,2.63e-07,0,0
7,13,3.05e-03,0,0
7,40,1.90e-03,0,0
7,59,6.23e-09,0,0
7,148,4.73e-05,0,1
8,46,2.79e-03,0,0
8,63,2.20e-03,0,0
8,124,1.18e-05,0,1
9,3,1.79e-03,0,0
9,57,2.23e-03,0,0
9,108,9.78e-04,0,0
10,63,1.39e-04,0,0
10,111,2.42e-03,0,0
10,151,2.44e-03,0,1
10,177,1.22e-06,0,1
11,129,7.45e-04,0,1
11,144,3.62e-04,0,1
11,149,3.89e-03,0,1
12,49,1.57e-03,0,0
12,139,4.23e-06,0,1
12,169,3.43e-03,0,1
13,8,1.95e-05,0,0
13,40,4.38e-09,0,0
13,46,2.21e-09,0,0
13,88,4.08e-03,0,0
13,124,9.00e-04,0,1
14,50,4.52e-04,0,0
14,75,1.84e-08,0,0
14,127,1.24e-09,0,1
14,145,4.27e-03,0,1
14,179,2.71e-04,0,1
14,186,9.09e-06,0,1
15,12,1.06e-10,0,0
15,51,3.10e-07,0,0
15,93,5.00e-03,0,0
15,193,3.62e-08,0,1
16,21,6.83e-06,0,0
16,92,2.22e-08,0,0
16,103,2.61e-03,0,0
16,127,6.39e-05,0,1
16,173,2.32e-03,0,1
17,20,1.21e-10,0,0
17,36,4.95e-03,0,0
17,78,4.57e-05,0,0
18,7,8.29e-04,0,0
18,32,2.39e-04,0,0
18,101,3.79e-03,0,0
18,138,1.39e-04,0,1
18,149,8.77e-10,0,1
19,2,4.81e-03,0,0
19,30,1.86e-04,0,0
19,171,2.61e-07,0,1
20,34,5.00e-03,0,0
20,68,2.54e-07,0,0
20,164,1.18e-10,0,1
21,50,4.21e-03,0,0
21,75,4.09e-04,0,0
21,91,5.44e-05,0,0
21,145,3.30e-04,0,1
22,16,7.89e-05,0,0
22,22,3.11e-04,0,0
22,44,3.80e-03,0,0
22,154,7.20e-04,0,1
22,178,9.15e-05,0,1
23,15,1.40e-05,0,0
23,26,2.07e-03,0,0
23,73,1.59e-03,0,0
23,125,6.08e-10,0,1
23,144,1.32e-03,0,1
24,188,5.00e-03,0,1
25,65,1.07e-07,0,0
25,98,1.85e-03,0,0
25,168,8.32e-09,0,1
25,176,1.70e-03,0,1
25,192,1.45e-03,0,1
26,12,5.42e-08,0,0
26,51,5.00e-03,0,0
26,93,5.29e-07,0,0
27,7,1.76e-04,0,0
27,32,5.82e-10,0,0
27,101,2.40e-05,0,0
27,129,1.49e-07,0,1
27,134,7.01e-10,0,1
27,138,4.80e-03,0,1
28,22,1.08e-08,0,0
28,28,2.75e-03,0,0
28,90,1.45e-06,0,0
28,118,2.73e-04,0,1
28,121,1.76e-03,0,1
28,154,2.14e-04,0,1
28,178,6.64e-10,0,1
29,38,2.21e-03,0,0
29,55,1.81e-03,0,0
29,89,4.35e-04,0,0
29,125,4.04e-04,0,1
29,134,1.40e-04,0,1
29,155,5.12e-08,0,1
29,167,1.28e-07,0,1
29,182,4.72e-08,0,1
29,184,8.88e-07,0,1
30,69,4.85e-03,0,0
30,104,5.03e-09,0,0
30,107,6.92e-06,0,0
30,189,1.47e-04,0,1
31,8,5.51e-08,0,0
31,13,1.53e-03,0,0
31,40,6.39e-04,0,0
31,148,2.84e-03,0,1
32,8,1.79e-09,0,0
32,13,4.24e-04,0,0
32,40,2.21e-05,0,0
32,59,4.55e-03,0,0
32,148,3.36e-09,0,1
33,4,3.74e-03,0,0
33,78,4.10e-05,0,0
33,128,1.80e-10,0,1
33,142,1.22e-03,0,1
34,20,4.76e-05,0,0
34,63,4.60e-10,0,0
34,68,9.89e-08,0,0
34,79,7.04e-05,0,0
34,111,1.43e-10,0,0
34,151,2.56e-03,0,1
34,164,2.08e-03,0,1
34,177,2.46e-04,0,1
35,7,4.58e-09,0,0
35,32,1.39e-03,0,0
35,100,1.36e-03,0,0
35,101,1.18e-03,0,0
35,149,1.07e-03,0,1
36,68,4.39e-03,0,0
36,79,5.46e-04,0,0
36,164,6.87e-05,0,1
37,2,1.69e-04,0,0
37,30,4.81e-03,0,0
37,171,1.74e-05,0,1
38,129,4.26e-03,0,1
38,144,7.02e-04,0,1
38,149,4.18e-05,0,1
39,39,3.48e-03,0,0
39,195,1.52e-03,0,1
40,46,2.21e-03,0,0
40,63,3.41e-06,0,0
40,88,9.61e-07,0,0
40,124,2.79e-03,0,1
41,65,4.12e-06,0,0
41,146,5.00e-03,0,1
41,176,1.51e-09,0,1
42,8,1.25e-03,0,0
42,22,3.95e-04,0,0
42,40,2.44e-03,0,0
42,88,9.19e-04,0,0
42,148,2.21e-09,0,1
42,154,2.38e-10,0,1
43,7,1.62e-03,0,0
43,32,3.38e-03,0,0
43,138,4.85e-06,0,1
44,16,4.86e-03,0,0
44,178,1.42e-04,0,1
45,21,2.72e-05,0,0
45,92,3.46e-03,0,0
45,173,1.51e-03,0,1
46,111,2.39e-04,0,0
46,151,1.67e-08,0,1
46,164,7.34e-06,0,1
46,177,4.75e-03,0,1
47,28,2.80e-08,0,0
47,47,4.43e-03,0,0
47,121,5.70e-04,0,1
48,16,2.91e-06,0,0
48,22,2.45e-04,0,0
48,44,1.20e-03,0,0
48,154,3.09e-03,0,1
48,178,4.57e-04,0,1
49,4,6.73e-05,0,0
49,117,3.49e-03,0,1
49,128,1.44e-03,0,1
49,139,5.65e-09,0,1
50,38,8.09e-05,0,0
50,102,2.90e-10,0,0
50,125,5.21e-05,0,1
50,130,7.34e-07,0,1
50,167,4.87e-03,0,1
51,52,5.00e-03,0,0
51,174,4.59e-06,0,1
52,49,6.37e-08,0,0
52,117,9.09e-06,0,1
52,139,4.99e-03,0,1
52,169,9.52e-07,0,1
