i,j,val,ci,cj
0,36,7.46e-05,0,0
0,93,6.86e-09,0,0
0,115,1.78e-04,0,1
0,125,4.75e-03,0,1
0,191,2.40e-08,0,1
1,116,1.83e-03,0,1
1,135,2.66e-05,0,1
1,175,3.11e-03,0,1
1,181,3.32e-05,0,1
2,148,3.09e-03,0,1
2,150,1.91e-03,0,1
2,161,6.51e-06,0,1
3,9,1.79e-03,0,0
3,56,3.21e-03,0,0
4,174,4.02e-03,0,1
4,176,9.83e-04,0,1
5,8,3.20e-03,0,0
5,13,1.26e-08,0,0
5,140,1.80e-03,0,1
5,153,2.08e-10,0,1
5,183,4.04e-07,0,1
6,5,2.69e-05,0,0
6,6,2.65e-03,0,0
6,28,1.76e-03,0,0
6,47,5.67e-04,0,0
6,77,5.28e-08,0,0
7,69,1.62e-07,0,0
7,134,4.77e-03,0,1
7,140,1.10e-08,0,1
7,188,1.83e-07,0,1
7,199,2.35e-04,0,1
8,7,2.62e-07,0,0
8,32,1.78e-09,0,0
8,42,1.25e-03,0,0
8,59,3.73e-03,0,0
8,124,1.95e-05,0,1
8,136,5.48e-08,0,1
9,56,1.79e-03,0,0
9,126,3.21e-03,0,1
10,60,1.30e-03,0,0
10,123,1.18e-05,0,1
10,124,8.98e-04,0,1
10,147,2.79e-03,0,1
11,23,6.06e-10,0,0
11,29,4.05e-04,0,0
11,50,5.20e-05,0,0
11,55,2.16e-03,0,0
11,67,2.38e-03,0,0
12,26,4.87e-08,0,0
12,100,4.68e-06,0,0
12,113,5.00e-03,0,0
13,57,4.83e-03,0,0
13,153,1.69e-04,0,1
13,199,1.85e-07,0,1
14,14,1.33e-09,0,0
14,76,1.35e-05,0,0
14,86,2.50e-08,0,0
14,92,9.53e-09,0,0
14,103,4.92e-03,0,0
14,133,6.31e-05,0,1
15,8,1.21e-05,0,0
15,13,4.72e-04,0,0
15,140,6.63e-05,0,1
15,153,1.32e-07,0,1
15,183,4.45e-03,0,1
15,184,7.61e-08,0,1
16,44,2.30e-04,0,0
16,129,4.30e-04,0,1
16,145,3.93e-03,0,1
16,186,4.09e-04,0,1
17,49,1.44e-03,0,0
17,72,3.56e-03,0,0
17,139,1.80e-10,0,1
18,11,7.45e-04,0,0
18,27,1.49e-07,0,0
18,38,4.25e-03,0,0
18,67,2.31e-10,0,0
19,44,1.64e-04,0,0
19,70,4.70e-03,0,0
19,145,2.87e-08,0,1
19,182,1.36e-04,0,1
19,198,1.69e-08,0,1
20,4,4.95e-03,0,0
20,17,1.21e-10,0,0
20,34,4.79e-05,0,0
21,45,1.06e-07,0,0
21,178,3.57e-10,0,1
21,180,5.00e-03,0,1
22,6,9.46e-10,0,0
22,22,3.12e-04,0,0
22,28,1.08e-08,0,0
22,42,3.92e-04,0,0
22,48,2.46e-04,0,0
22,62,4.05e-03,0,0
23,104,4.95e-03,0,0
23,143,5.44e-05,0,1
24,15,1.56e-10,0,0
24,152,5.00e-03,0,1
25,44,4.38e-03,0,0
25,70,6.49e-09,0,0
25,129,9.56e-08,0,1
25,145,6.22e-04,0,1
25,186,3.80e-10,0,1
26,134,1.20e-04,0,1
26,188,4.85e-03,0,1
26,192,3.94e-08,0,1
26,199,2.82e-05,0,1
27,27,7.00e-10,0,0
27,29,1.40e-04,0,0
27,89,1.49e-04,0,0
27,91,4.71e-03,0,0
28,5,1.95e-05,0,0
28,6,2.23e-03,0,0
28,28,2.75e-03,0,0
28,47,2.78e-08,0,0
29,36,2.93e-05,0,0
29,63,8.24e-06,0,0
29,115,1.43e-09,0,1
29,125,2.99e-08,0,1
29,149,9.03e-07,0,1
29,191,4.96e-03,0,1
30,19,1.86e-04,0,0
30,37,4.81e-03,0,0
30,54,3.50e-09,0,0
31,18,1.39e-04,0,0
31,27,4.80e-03,0,0
31,43,4.85e-06,0,0
31,194,5.77e-05,0,1
32,31,1.81e-05,0,0
32,40,5.59e-06,0,0
32,46,1.11e-09,0,0
32,101,2.59e-03,0,0
32,117,1.31e-03,0,1
32,151,1.06e-03,0,1
32,157,1.14e-05,0,1
32,166,6.30e-07,0,1
33,12,3.94e-06,0,0
33,49,5.85e-09,0,0
33,52,4.99e-03,0,0
33,80,6.34e-06,0,0
34,120,9.61e-04,0,1
34,160,1.57e-05,0,1
34,161,3.08e-07,0,1
34,166,4.02e-03,0,1
35,14,4.27e-03,0,0
35,21,3.29e-04,0,0
35,44,3.19e-05,0,0
35,70,1.88e-05,0,0
35,76,1.41e-10,0,0
35,129,9.61e-10,0,1
35,145,3.50e-04,0,1
35,179,1.49e-09,0,1
35,186,2.58e-06,0,1
36,1,2.77e-09,0,0
36,4,4.69e-05,0,0
36,17,4.95e-03,0,0
37,116,1.59e-05,0,1
37,135,1.11e-04,0,1
37,175,3.74e-05,0,1
37,181,4.84e-03,0,1
38,160,4.88e-03,0,1
38,174,1.24e-04,0,1
39,33,4.82e-03,0,0
39,44,1.76e-04,0,0
39,129,1.60e-06,0,1
39,145,6.56e-07,0,1
40,7,1.90e-03,0,0
40,32,2.21e-05,0,0
40,42,2.44e-03,0,0
40,59,2.90e-07,0,0
40,124,4.39e-09,0,1
40,136,6.37e-04,0,1
41,82,5.00e-03,0,0
41,158,4.47e-07,0,1
41,164,3.01e-08,0,1
42,7,4.74e-05,0,0
42,32,3.36e-09,0,0
42,42,2.22e-09,0,0
42,136,2.84e-03,0,1
42,194,2.12e-03,0,1
43,11,3.89e-03,0,0
43,18,8.79e-10,0,0
43,35,1.07e-03,0,0
43,38,4.17e-05,0,0
44,71,1.12e-05,0,0
44,110,4.94e-03,0,0
44,190,4.65e-05,0,1
45,57,8.85e-06,0,0
45,188,1.46e-04,0,1
45,192,1.05e-04,0,1
45,199,4.74e-03,0,1
46,60,4.98e-06,0,0
46,123,2.79e-03,0,1
46,124,2.20e-09,0,1
46,147,2.21e-03,0,1
47,104,1.65e-10,0,0
47,144,5.01e-04,0,1
47,148,1.92e-03,0,1
47,150,1.50e-03,0,1
47,161,1.08e-03,0,1
48,14,4.52e-04,0,0
48,21,4.20e-03,0,0
48,44,2.08e-05,0,0
48,70,2.79e-04,0,0
