i,j,val,ci,cj
0,0,2.76e-03,0,0
0,134,2.24e-03,0,1
1,1,4.56e-03,0,0
1,33,4.40e-04,0,0
2,2,4.74e-03,0,0
2,141,1.82e-05,0,1
2,187,1.01e-07,0,1
2,189,2.42e-04,0,1
3,3,2.66e-03,0,0
3,135,5.42e-10,0,1
3,147,1.49e-09,0,1
3,175,2.34e-03,0,1
4,4,3.30e-03,0,0
4,147,1.66e-03,0,1
4,159,2.45e-10,0,1
4,194,4.31e-05,0,1
5,5,4.86e-03,0,0
5,6,5.89e-05,0,0
5,144,8.15e-05,0,1
5,167,1.82e-06,0,1
6,5,5.88e-05,0,0
6,6,2.87e-03,0,0
6,144,2.07e-03,0,1
7,7,2.62e-03,0,0
7,31,1.93e-03,0,0
7,32,4.45e-04,0,0
7,172,5.07e-10,0,1
8,2,8.63e-10,0,0
8,8,5.00e-03,0,0
9,9,5.00e-03,0,0
9,116,1.34e-10,0,1
10,10,4.99e-03,0,0
10,46,6.35e-06,0,0
10,88,5.64e-08,0,0
10,153,8.09e-09,0,1
11,11,3.77e-03,0,0
11,121,1.23e-03,0,1
11,158,1.52e-08,0,1
12,12,5.00e-03,0,0
12,51,3.30e-07,0,0
12,52,1.02e-06,0,0
13,13,4.99e-03,0,0
13,40,1.09e-05,0,0
13,125,9.54e-09,0,1
14,14,5.00e-03,0,0
14,76,5.45e-10,0,0
14,133,3.14e-06,0,1
15,15,4.92e-03,0,0
15,140,7.94e-05,0,1
16,16,5.00e-03,0,0
16,86,2.61e-06,0,0
17,17,5.00e-03,0,0
17,117,3.38e-06,0,1
18,18,5.00e-03,0,0
18,143,2.27e-10,0,1
19,19,4.99e-03,0,0
19,54,1.24e-05,0,0
20,20,4.92e-03,0,0
20,29,1.70e-05,0,0
20,139,4.59e-06,0,1
20,155,1.28e-06,0,1
20,186,5.25e-05,0,1
21,21,3.99e-03,0,0
21,169,9.76e-04,0,1
21,187,3.86e-05,0,1
22,22,3.53e-03,0,0
22,48,1.47e-03,0,0
23,23,3.70e-03,0,0
23,176,1.30e-03,0,1
24,24,5.00e-03,0,0
25,25,4.96e-03,0,0
25,199,4.47e-05,0,1
26,26,4.50e-03,0,0
26,97,1.60e-07,0,0
26,123,5.01e-04,0,1
27,27,5.00e-03,0,0
27,151,7.70e-09,0,1
27,157,3.89e-08,0,1
27,195,1.63e-09,0,1
28,28,5.00e-03,0,0
28,131,3.55e-09,0,1
29,20,1.70e-05,0,0
29,29,3.39e-03,0,0
29,98,1.12e-09,0,0
29,139,1.70e-07,0,1
29,155,1.56e-03,0,1
29,186,2.97e-05,0,1
30,30,4.99e-03,0,0
30,50,1.57e-10,0,0
30,148,6.02e-06,0,1
31,7,1.93e-03,0,0
31,31,3.00e-03,0,0
31,32,7.01e-05,0,0
31,172,4.41e-10,0,1
32,7,4.45e-04,0,0
32,31,7.01e-05,0,0
32,32,4.48e-03,0,0
32,172,1.04e-08,0,1
