i,j,val,ci,cj
0,18,5.95e-05,0,0
0,25,4.26e-06,0,0
0,85,1.87e-04,0,0
0,145,4.00e-03,0,1
0,155,7.48e-04,0,1
0,171,5.19e-10,0,1
1,34,2.12e-09,0,0
1,45,4.43e-03,0,0
1,46,5.82e-06,0,0
1,63,5.60e-04,0,0
1,111,6.91e-08,0,0
1,186,8.83e-06,0,1
2,7,1.49e-08,0,0
2,128,2.62e-03,0,1
2,158,1.09e-03,0,1
2,177,1.18e-03,0,1
2,184,1.09e-04,0,1
3,165,3.05e-04,0,1
3,172,4.69e-03,0,1
4,93,3.30e-05,0,0
4,100,3.00e-05,0,0
4,113,4.94e-03,0,0
5,120,6.20e-08,0,1
5,148,1.37e-03,0,1
5,150,3.63e-03,0,1
5,161,1.31e-09,0,1
6,131,3.04e-03,0,1
6,138,1.34e-08,0,1
6,154,1.92e-03,0,1
6,188,2.22e-09,0,1
6,192,5.31e-09,0,1
6,195,3.90e-05,0,1
7,29,4.64e-04,0,0
7,50,3.54e-05,0,0
7,55,2.95e-03,0,0
7,67,1.55e-03,0,0
7,91,1.21e-07,0,0
7,94,3.88e-06,0,0
8,11,1.94e-04,0,0
8,27,3.81e-08,0,0
8,35,5.36e-05,0,0
8,38,1.75e-05,0,0
8,129,4.73e-03,0,1
9,116,4.42e-04,0,1
9,135,4.23e-03,0,1
9,175,3.32e-04,0,1
10,120,3.92e-07,0,1
10,148,2.17e-04,0,1
10,161,4.78e-03,0,1
11,14,1.46e-04,0,0
11,85,1.43e-05,0,0
11,145,2.85e-10,0,1
11,179,4.84e-03,0,1
12,99,3.40e-03,0,0
12,102,2.68e-08,0,0
12,107,4.17e-04,0,0
12,109,2.57e-04,0,0
12,194,9.26e-04,0,1
13,11,1.12e-03,0,0
13,38,3.85e-03,0,0
13,67,3.60e-05,0,0
14,122,4.98e-03,0,1
14,138,2.16e-05,0,1
14,168,2.59e-06,0,1
14,188,1.95e-10,0,1
14,191,1.19e-10,0,1
15,2,2.88e-08,0,0
15,30,4.73e-03,0,0
15,69,2.73e-04,0,0
16,6,1.35e-04,0,0
16,28,1.60e-04,0,0
16,62,4.70e-03,0,0
17,131,1.93e-03,0,1
17,154,3.07e-03,0,1
17,188,1.49e-10,0,1
17,192,1.83e-08,0,1
17,195,7.81e-10,0,1
18,14,4.15e-03,0,0
18,16,4.69e-06,0,0
18,61,7.93e-04,0,0
18,86,4.90e-06,0,0
18,103,4.77e-05,0,0
19,7,2.64e-03,0,0
19,118,5.68e-10,0,1
19,128,2.36e-03,0,1
19,162,2.25e-10,0,1
20,51,1.01e-09,0,0
20,112,7.49e-05,0,0
20,124,4.93e-03,0,1
21,8,5.38e-07,0,0
21,13,6.19e-06,0,0
21,22,2.87e-03,0,0
21,40,2.08e-03,0,0
21,42,8.98e-09,0,0
21,48,3.82e-05,0,0
22,70,2.94e-04,0,0
22,89,4.68e-03,0,0
22,105,2.23e-05,0,0
23,24,4.14e-03,0,0
23,122,2.13e-06,0,1
23,141,7.97e-04,0,1
23,168,1.19e-07,0,1
23,189,5.78e-05,0,1
23,191,3.36e-07,0,1
24,116,5.82e-05,0,1
24,156,4.43e-03,0,1
24,175,5.09e-04,0,1
24,180,3.02e-08,0,1
25,104,4.40e-03,0,0
25,116,7.57e-06,0,1
25,135,5.90e-04,0,1
25,149,4.12e-06,0,1
25,175,8.90e-09,0,1
26,2,2.02e-06,0,0
26,19,4.73e-03,0,0
26,30,2.68e-04,0,0
26,54,5.73e-07,0,0
26,69,2.31e-09,0,0
27,104,2.32e-05,0,0
27,117,4.41e-03,0,1
27,136,5.57e-04,0,1
27,147,5.28e-07,0,1
27,151,1.30e-06,0,1
27,157,2.43e-10,0,1
27,159,2.51e-06,0,1
27,166,2.52e-06,0,1
28,47,4.59e-03,0,0
