i,j,val,ci,cj
0,6,1.08e-07,0,0
0,14,1.91e-07,0,0
0,17,1.82e-09,0,0
0,54,4.60e-03,0,0
0,162,3.98e-04,0,1
1,49,3.49e-03,0,0
1,52,8.77e-06,0,0
1,169,2.41e-04,0,1
1,174,1.26e-03,0,1
2,19,4.81e-03,0,0
2,146,1.69e-04,0,1
2,158,1.77e-05,0,1
3,122,1.79e-03,0,1
3,161,3.21e-03,0,1
4,49,6.72e-05,0,0
4,139,3.74e-03,0,1
4,169,1.20e-03,0,1
5,28,2.72e-04,0,0
5,77,1.52e-03,0,0
5,90,1.32e-09,0,0
5,118,3.11e-03,0,1
5,121,1.00e-04,0,1
6,28,1.76e-03,0,0
6,47,5.67e-04,0,0
6,77,5.28e-08,0,0
6,118,2.69e-05,0,1
6,121,2.65e-03,0,1
7,101,2.38e-03,0,0
7,129,8.28e-04,0,1
7,134,1.76e-04,0,1
7,144,4.57e-09,0,1
7,149,1.62e-03,0,1
8,7,2.62e-07,0,0
8,13,1.95e-05,0,0
8,32,1.78e-09,0,0
8,59,3.73e-03,0,0
8,138,5.48e-08,0,1
8,148,1.25e-03,0,1
9,126,3.21e-03,0,1
9,161,1.79e-03,0,1
10,8,1.18e-05,0,0
10,13,8.98e-04,0,0
10,40,2.79e-03,0,0
10,60,1.30e-03,0,0
11,55,2.16e-03,0,0
11,130,6.06e-10,0,1
11,135,4.05e-04,0,1
11,155,5.20e-05,0,1
11,167,2.38e-03,0,1
12,26,4.87e-08,0,0
12,100,4.68e-06,0,0
12,113,5.00e-03,0,0
13,7,3.05e-03,0,0
13,32,4.23e-04,0,0
13,101,4.13e-08,0,0
13,138,1.52e-03,0,1
14,16,6.31e-05,0,0
14,92,9.53e-09,0,0
14,103,4.92e-03,0,0
14,127,1.33e-09,0,1
14,173,1.35e-05,0,1
14,178,2.50e-08,0,1
15,102,2.42e-04,0,0
15,106,1.36e-03,0,0
15,130,1.39e-05,0,1
15,185,3.38e-03,0,1
16,22,7.85e-05,0,0
16,44,4.86e-03,0,0
16,88,1.22e-09,0,0
16,154,2.90e-06,0,1
16,178,6.10e-05,0,1
17,49,1.44e-03,0,0
17,139,1.80e-10,0,1
17,169,3.56e-03,0,1
18,38,4.25e-03,0,0
18,125,7.45e-04,0,1
18,134,1.49e-07,0,1
18,167,2.31e-10,0,1
19,65,2.40e-03,0,0
19,98,7.92e-05,0,0
19,176,2.52e-03,0,1
20,4,4.95e-03,0,0
20,128,1.21e-10,0,1
20,142,4.79e-05,0,1
21,16,6.72e-06,0,0
21,92,1.95e-07,0,0
