i,j,val,ci,cj
0,0,2.76e-03,0,0
0,25,2.24e-03,0,0
1,1,4.56e-03,0,0
1,33,4.40e-04,0,0
2,2,4.85e-03,0,0
2,30,1.53e-04,0,0
2,75,3.69e-09,0,0
3,3,5.00e-03,0,0
3,97,1.36e-09,0,0
4,4,5.00e-03,0,0
4,17,3.38e-06,0,0
5,5,4.86e-03,0,0
5,6,5.89e-05,0,0
5,28,8.15e-05,0,0
5,90,1.82e-06,0,0
6,5,5.88e-05,0,0
6,6,2.87e-03,0,0
6,28,2.07e-03,0,0
7,7,2.62e-03,0,0
7,31,1.93e-03,0,0
7,32,4.45e-04,0,0
7,101,5.07e-10,0,0
8,13,9.54e-09,0,0
8,40,1.00e-03,0,0
8,123,4.00e-03,0,1
9,3,1.34e-10,0,0
9,9,5.00e-03,0,0
10,10,4.99e-03,0,0
10,34,8.09e-09,0,0
10,46,6.35e-06,0,0
10,88,5.64e-08,0,0
11,11,2.86e-03,0,0
11,38,2.14e-03,0,0
12,12,5.00e-03,0,0
12,51,3.30e-07,0,0
12,52,1.02e-06,0,0
13,13,4.99e-03,0,0
13,40,1.09e-05,0,0
13,123,9.54e-09,0,1
14,14,5.00e-03,0,0
14,21,3.14e-06,0,0
14,76,5.45e-10,0,0
15,15,4.92e-03,0,0
15,26,7.94e-05,0,0
16,86,2.61e-06,0,0
16,124,5.00e-03,0,1
17,4,3.38e-06,0,0
17,17,5.00e-03,0,0
18,18,5.00e-03,0,0
18,27,2.27e-10,0,0
19,19,4.99e-03,0,0
19,54,1.24e-05,0,0
20,36,6.74e-10,0,0
20,144,5.00e-03,0,1
21,14,3.09e-06,0,0
21,21,4.96e-03,0,0
21,76,2.45e-05,0,0
21,92,8.54e-06,0,0
22,22,3.53e-03,0,0
22,48,1.47e-03,0,0
23,23,3.70e-03,0,0
23,102,1.30e-03,0,0
24,24,5.00e-03,0,0
25,0,2.24e-03,0,0
25,25,2.76e-03,0,0
26,15,7.94e-05,0,0
26,26,4.92e-03,0,0
26,73,4.31e-07,0,0
27,18,2.61e-10,0,0
27,27,5.00e-03,0,0
28,5,8.14e-05,0,0
28,6,2.07e-03,0,0
28,28,2.85e-03,0,0
29,29,5.00e-03,0,0
29,55,5.01e-08,0,0
29,91,3.82e-06,0,0
30,2,1.53e-04,0,0
30,30,4.85e-03,0,0
30,69,1.07e-07,0,0
31,7,1.93e-03,0,0
31,31,3.00e-03,0,0
31,32,7.01e-05,0,0
31,101,4.41e-10,0,0
32,7,4.45e-04,0,0
