i,j,val,ci,cj
0,27,7.46e-05,0,0
0,115,1.78e-04,0,1
0,125,4.75e-03,0,1
0,189,6.86e-09,0,1
0,191,2.40e-08,0,1
1,0,1.83e-03,0,0
1,16,2.66e-05,0,0
1,175,3.11e-03,0,1
1,181,3.32e-05,0,1
2,54,1.77e-05,0,0
2,137,4.81e-03,0,1
2,149,1.69e-04,0,1
3,56,3.21e-03,0,0
3,128,1.79e-03,0,1
4,33,3.74e-03,0,0
4,160,6.72e-05,0,1
4,169,1.20e-03,0,1
5,30,6.54e-05,0,0
5,118,1.68e-09,0,1
5,196,4.93e-03,0,1
6,23,1.80e-03,0,0
6,123,3.20e-03,0,1
6,124,1.26e-08,0,1
6,153,2.08e-10,0,1
6,183,4.04e-07,0,1
7,18,8.28e-04,0,0
7,35,4.57e-09,0,0
7,43,1.62e-03,0,0
7,101,2.38e-03,0,0
7,141,1.76e-04,0,1
8,7,2.62e-07,0,0
8,13,1.95e-05,0,0
8,32,1.78e-09,0,0
8,42,1.25e-03,0,0
8,59,3.73e-03,0,0
8,147,5.48e-08,0,1
9,143,4.36e-03,0,1
9,151,9.45e-06,0,1
9,157,3.21e-04,0,1
9,168,3.12e-04,0,1
10,103,1.85e-07,0,0
10,153,1.68e-04,0,1
10,163,4.83e-03,0,1
11,37,2.22e-06,0,0
11,125,2.53e-04,0,1
11,129,4.57e-03,0,1
11,139,1.78e-04,0,1
12,26,4.87e-08,0,0
12,113,5.00e-03,0,0
12,194,4.68e-06,0,1
13,7,3.05e-03,0,0
13,32,4.23e-04,0,0
13,101,4.13e-08,0,0
13,147,1.52e-03,0,1
14,2,1.86e-03,0,0
14,9,5.19e-04,0,0
14,167,2.61e-03,0,1
14,190,1.39e-05,0,1
14,197,1.89e-08,0,1
15,95,3.38e-03,0,0
15,102,2.42e-04,0,0
15,106,1.36e-03,0,0
15,140,1.39e-05,0,1
16,22,7.85e-05,0,0
16,44,4.86e-03,0,0
16,48,2.90e-06,0,0
16,86,6.10e-05,0,0
16,182,1.22e-09,0,1
17,23,6.62e-05,0,0
17,123,1.21e-05,0,1
17,124,4.72e-04,0,1
17,153,1.32e-07,0,1
17,183,4.45e-03,0,1
17,184,7.61e-08,0,1
18,129,4.30e-04,0,1
18,145,3.93e-03,0,1
18,155,2.30e-04,0,1
18,186,4.09e-04,0,1
19,65,2.40e-03,0,0
19,84,2.52e-03,0,0
19,98,7.92e-05,0,0
20,4,4.95e-03,0,0
20,17,1.21e-10,0,0
20,34,4.79e-05,0,0
21,45,2.68e-05,0,0
21,76,6.05e-06,0,0
21,92,1.95e-07,0,0
21,111,4.43e-03,0,0
21,135,6.72e-06,0,1
21,173,4.52e-04,0,1
21,199,7.58e-05,0,1
22,6,9.46e-10,0,0
22,22,3.12e-04,0,0
22,42,3.92e-04,0,0
22,48,2.46e-04,0,0
22,62,4.05e-03,0,0
22,142,1.08e-08,0,1
23,2,5.07e-06,0,0
23,9,3.37e-08,0,0
23,167,6.54e-07,0,1
23,190,4.94e-03,0,1
23,197,5.61e-05,0,1
24,57,3.91e-03,0,0
24,143,1.12e-04,0,1
24,148,4.64e-10,0,1
24,166,9.76e-04,0,1
25,5,1.23e-03,0,0
25,168,3.77e-03,0,1
26,95,1.62e-03,0,0
26,102,1.31e-03,0,0
26,106,3.98e-07,0,0
26,140,2.07e-03,0,1
27,5,1.61e-03,0,0
27,21,2.23e-03,0,0
27,131,1.11e-03,0,1
27,154,3.46e-06,0,1
27,195,5.13e-05,0,1
28,6,2.23e-03,0,0
28,122,1.95e-05,0,1
28,142,2.75e-03,0,1
28,159,2.78e-08,0,1
29,80,4.70e-03,0,0
29,88,1.36e-04,0,0
29,145,2.87e-08,0,1
29,155,1.64e-04,0,1
29,198,1.69e-08,0,1
30,54,3.50e-09,0,0
30,137,1.86e-04,0,1
30,149,4.81e-03,0,1
31,143,5.45e-05,0,1
31,195,4.95e-03,0,1
32,18,2.39e-04,0,0
32,35,1.38e-03,0,0
32,43,3.38e-03,0,0
32,101,6.33e-08,0,0
32,141,5.82e-10,0,1
33,80,6.49e-09,0,0
33,129,9.56e-08,0,1
33,145,6.22e-04,0,1
33,155,4.38e-03,0,1
33,186,3.80e-10,0,1
